llave_sintetica,k
B_11_2_25-29,12
B_11_2_30-34,21
B_11_2_35-39,10
B_11_2_40-44,23
B_11_2_45-49,5
B_11_2_5-9,33
B_11_2_50-54,9
B_11_2_55-59,18
B_11_2_60-64,12
B_11_2_65-69,20
B_11_2_70-74,17
B_11_2_75-79,22
B_11_2_80-84,10
B_11_2_85 y más,11
B_11_2_Menor de 1,8
B_12_1_10-14,27
B_12_1_15-19,13
B_12_1_20-24,38
B_12_1_45-49,37
B_12_1_5-9,47
B_12_1_50-54,33
B_12_1_55-59,34
B_12_1_60-64,27
B_12_1_65-69,20
B_12_1_70-74,20
B_12_1_75-79,9
B_12_1_80-84,9
B_12_1_85 y más,8
B_12_1_Menor de 1,36
B_12_2_10-14,32
B_12_2_15-19,23
B_12_2_20-24,23
B_12_2_25-29,42
B_12_2_30-34,38
B_12_2_40-44,32
B_12_2_45-49,12
B_12_2_5-9,40
B_12_2_50-54,13
B_12_2_55-59,22
B_12_2_60-64,14
B_12_2_65-69,17
B_12_2_70-74,5
B_12_2_75-79,12
B_12_2_80-84,7
B_12_2_85 y más,6
B_12_2_Menor de 1,37
B_13_1_15-19,38
B_13_1_60-64,40
B_13_1_65-69,33
B_13_1_70-74,25
B_13_1_75-79,26
B_13_1_80-84,16
B_13_1_85 y más,14
B_13_2_15-19,34
B_13_2_20-24,44
B_13_2_30-34,48
B_13_2_45-49,44
B_13_2_50-54,32
B_13_2_55-59,33
B_13_2_60-64,25
B_13_2_65-69,26
B_13_2_70-74,31
B_13_2_75-79,19
B_13_2_80-84,14
B_13_2_85 y más,20
B_14_1_15-19,32
B_14_1_20-24,22
B_14_1_25-29,41
B_14_1_30-34,30
B_14_1_35-39,16
B_14_1_40-44,14
B_14_1_45-49,7
B_14_1_50-54,12
B_14_1_55-59,8
B_14_1_60-64,11
B_14_1_65-69,5
B_14_1_70-74,4
B_14_1_75-79,5
B_14_1_80-84,6
B_14_1_85 y más,7
B_14_1_Menor de 1,22
B_14_2_15-19,33
B_14_2_20-24,33
B_14_2_25-29,15
B_14_2_30-34,27
B_14_2_35-39,15
B_14_2_40-44,12
B_14_2_45-49,14
B_14_2_50-54,13
B_14_2_55-59,6
B_14_2_60-64,9
B_14_2_65-69,11
B_14_2_70-74,6
B_14_2_75-79,1
B_14_2_80-84,3
B_14_2_85 y más,4
B_14_2_Menor de 1,16
B_15_1_1-4,17
B_15_1_10-14,7
B_15_1_15-19,12
B_15_1_20-24,13
B_15_1_25-29,26
B_15_1_30-34,18
B_15_1_35-39,18
B_15_1_40-44,16
B_15_1_45-49,9
B_15_1_5-9,10
B_15_1_50-54,11
B_15_1_55-59,5
B_15_1_60-64,3
B_15_1_65-69,4
B_15_1_70-74,1
B_15_1_75-79,1
B_15_1_80-84,2
B_15_1_Menor de 1,13
B_15_2_1-4,15
B_15_2_10-14,13
B_15_2_15-19,4
B_15_2_20-24,2
B_15_2_25-29,5
B_15_2_30-34,5
B_15_2_35-39,1
B_15_2_40-44,9
B_15_2_45-49,1
B_15_2_5-9,10
B_15_2_50-54,1
B_15_2_55-59,6
B_15_2_60-64,1
B_15_2_65-69,4
B_15_2_70-74,2
B_15_2_75-79,1
B_15_2_85 y más,3
B_15_2_Menor de 1,13
B_16_1_1-4,32
B_16_1_10-14,23
B_16_1_15-19,7
B_16_1_20-24,24
B_16_1_25-29,31
B_16_1_30-34,14
B_16_1_35-39,16
B_16_1_40-44,11
B_16_1_45-49,3
B_16_1_5-9,13
B_16_1_50-54,14
B_16_1_55-59,7
B_16_1_60-64,7
B_16_1_65-69,2
B_16_1_70-74,1
B_16_1_75-79,3
B_16_1_85 y más,1
B_16_1_Menor de 1,12
B_16_2_1-4,22
B_16_2_10-14,17
B_16_2_15-19,18
B_16_2_20-24,13
B_16_2_25-29,9
B_16_2_30-34,8
B_16_2_35-39,19
B_16_2_40-44,3
B_16_2_45-49,3
B_16_2_5-9,26
B_16_2_50-54,2
B_16_2_55-59,1
B_16_2_60-64,5
B_16_2_65-69,3
B_16_2_70-74,2
B_16_2_75-79,1
B_16_2_80-84,2
